"Face","Mean_Theta_Drug","Mean_Theta_NoDrug"
"V595",0.250925101778922,0.581854087258666
"V596",0.387213344951342,0.811923453836227
"V597",0.375913749890831,0.877331476805477
"V598",0.594582811373408,1.09294023984202
"V599",0.453658006277773,0.777992057839045
"V600",0.706913138449767,1.13357783181557
"V601",0.420722841524704,0.654736051130789
"V602",0.314020111017819,0.656676170943516
"V603",0.486407421058175,0.894906670030074
"V604",0.547499476712382,0.752182518698339
"V605",0.617041948475649,0.919788197372265
"V606",0.780507530276974,1.10533205948635
"V607",0.687869683331666,0.781125672052768
"V608",0.962429001457833,1.0985388459839
"V609",0.587990284838622,0.91791516343705
"V610",0.44450148055474,0.739510446638094
"V611",0.57587820546286,0.989886394076728
"V612",0.63596173945716,0.831833151902618
"V613",0.324967387329301,0.638456848625878
"V614",0.242416507812718,0.523530375558987
"V615",0.34035157990099,0.749387479197279
"V616",0.349925263275789,0.630371487558984
"V617",0.664730560436701,0.948558432765698
"V618",0.438875115652084,0.843292859719105
"V619",0.465657066992811,0.699141202134149
"V620",0.500103967448183,0.890989580682109
"V621",0.750583132728089,0.789146195522183
"V622",0.542367589070359,0.710289994981369
"V623",0.780942534505771,0.948360295319145
"V624",0.896208578107312,0.782973626094373
"V625",0.783955932936216,1.21154900317493
"V626",0.875280579550482,1.09543927436599
"V627",0.883648855585589,1.02299389248736
"V628",1.04515271191094,1.24792780857701
"V629",0.982879926652146,0.967397926617193
"V630",1.13166604270514,0.944320156306477
"V631",1.07276454875289,0.722487294336649
"V632",1.25153712950769,0.990449060637377
"V633",1.10225321004516,0.986705021180521
"V634",0.978202954830196,0.866228602985551
"V635",1.09744422979216,1.08199347768355
"V636",1.16604570419199,0.844362636562859
"V637",1.28558857402532,1.15420750480627
"V638",1.3917188635001,1.02628989618145
"V639",1.36720624800949,0.957768720152191
"V640",1.52748886260335,1.09436170116864
"V641",1.50185322161314,-0.460333085328939
"V642",1.26936428652378,-0.00636915335568233
"V643",1.50725933305565,-0.045779785136719
"V644",1.34312549414964,0.00698781134805238
"V645",1.0838182499341,0.925727765573653
"V646",0.883088964504062,1.11083808843377
"V647",1.06167799740396,1.43593382514781
